#datatype,string,long,dateTime:RFC3339,string,string,double
#group,true,true,false,true,true,false
#default,,,,,,
,result,table,_time,_measurement,_field,_value
,ur,0,2025-08-29T10:25:56.165Z,ur_joints,base,-2.133141412
,ur,0,2025-08-29T10:25:56.165Z,ur_joints,elbow,0.794648408
,ur,0,2025-08-29T10:25:56.165Z,ur_joints,shoulder,-0.891165116
,ur,0,2025-08-29T10:25:56.165Z,ur_joints,wrist1,-0.678409480
,ur,0,2025-08-29T10:25:56.165Z,ur_joints,wrist2,2.289522913
,ur,0,2025-08-29T10:25:56.165Z,ur_joints,wrist3,-0.036651914
,ur,1,2025-08-29T10:25:56.272Z,ur_joints,base,-2.114640922
,ur,1,2025-08-29T10:25:56.272Z,ur_joints,elbow,0.689928653
,ur,1,2025-08-29T10:25:56.272Z,ur_joints,shoulder,-0.920486648
,ur,1,2025-08-29T10:25:56.272Z,ur_joints,wrist1,-0.682947336
,ur,1,2025-08-29T10:25:56.272Z,ur_joints,wrist2,2.265262836
,ur,1,2025-08-29T10:25:56.272Z,ur_joints,wrist3,-0.036477381
,ur,2,2025-08-29T10:25:56.382Z,ur_joints,base,-2.095965899
,ur,2,2025-08-29T10:25:56.382Z,ur_joints,elbow,0.585208898
,ur,2,2025-08-29T10:25:56.382Z,ur_joints,shoulder,-0.949633646
,ur,2,2025-08-29T10:25:56.382Z,ur_joints,wrist1,-0.687485192
,ur,2,2025-08-29T10:25:56.382Z,ur_joints,wrist2,2.241002760
,ur,2,2025-08-29T10:25:56.382Z,ur_joints,wrist3,-0.036302848
,ur,3,2025-08-29T10:25:56.491Z,ur_joints,base,-2.077465409
,ur,3,2025-08-29T10:25:56.491Z,ur_joints,elbow,0.480489143
,ur,3,2025-08-29T10:25:56.491Z,ur_joints,shoulder,-0.978780645
,ur,3,2025-08-29T10:25:56.491Z,ur_joints,wrist1,-0.692023048
,ur,3,2025-08-29T10:25:56.491Z,ur_joints,wrist2,2.216742683
,ur,3,2025-08-29T10:25:56.491Z,ur_joints,wrist3,-0.036128316
,ur,4,2025-08-29T10:25:56.600Z,ur_joints,base,-2.058790386
,ur,4,2025-08-29T10:25:56.600Z,ur_joints,elbow,0.375769388
,ur,4,2025-08-29T10:25:56.600Z,ur_joints,shoulder,-1.008102176
,ur,4,2025-08-29T10:25:56.600Z,ur_joints,wrist1,-0.696560904
,ur,4,2025-08-29T10:25:56.600Z,ur_joints,wrist2,2.192482606
,ur,4,2025-08-29T10:25:56.600Z,ur_joints,wrist3,-0.035953783
,ur,5,2025-08-29T10:25:56.708Z,ur_joints,base,-2.040115363
,ur,5,2025-08-29T10:25:56.708Z,ur_joints,elbow,0.271049633
,ur,5,2025-08-29T10:25:56.708Z,ur_joints,shoulder,-1.037249174
,ur,5,2025-08-29T10:25:56.708Z,ur_joints,wrist1,-0.701098761
,ur,5,2025-08-29T10:25:56.708Z,ur_joints,wrist2,2.168222530
,ur,5,2025-08-29T10:25:56.708Z,ur_joints,wrist3,-0.035604717
,ur,6,2025-08-29T10:25:56.817Z,ur_joints,base,-2.021614873
,ur,6,2025-08-29T10:25:56.817Z,ur_joints,elbow,0.166329878
,ur,6,2025-08-29T10:25:56.817Z,ur_joints,shoulder,-1.066396173
,ur,6,2025-08-29T10:25:56.817Z,ur_joints,wrist1,-0.705636617
,ur,6,2025-08-29T10:25:56.817Z,ur_joints,wrist2,2.143962453
,ur,6,2025-08-29T10:25:56.817Z,ur_joints,wrist3,-0.035430184
,ur,7,2025-08-29T10:25:56.927Z,ur_joints,base,-2.002939850
,ur,7,2025-08-29T10:25:56.927Z,ur_joints,elbow,0.061610123
,ur,7,2025-08-29T10:25:56.927Z,ur_joints,shoulder,-1.095543171
,ur,7,2025-08-29T10:25:56.927Z,ur_joints,wrist1,-0.710174473
,ur,7,2025-08-29T10:25:56.927Z,ur_joints,wrist2,2.119702377
,ur,7,2025-08-29T10:25:56.927Z,ur_joints,wrist3,-0.035255651
,ur,8,2025-08-29T10:25:57.037Z,ur_joints,base,-1.984439360
,ur,8,2025-08-29T10:25:57.037Z,ur_joints,elbow,-0.043109633
,ur,8,2025-08-29T10:25:57.037Z,ur_joints,shoulder,-1.124864703
,ur,8,2025-08-29T10:25:57.037Z,ur_joints,wrist1,-0.714712329
,ur,8,2025-08-29T10:25:57.037Z,ur_joints,wrist2,2.095442300
,ur,8,2025-08-29T10:25:57.037Z,ur_joints,wrist3,-0.035081118
,ur,9,2025-08-29T10:25:57.150Z,ur_joints,base,-1.965764337
,ur,9,2025-08-29T10:25:57.150Z,ur_joints,elbow,-0.147829388
,ur,9,2025-08-29T10:25:57.150Z,ur_joints,shoulder,-1.154011701
,ur,9,2025-08-29T10:25:57.150Z,ur_joints,wrist1,-0.719250185
,ur,9,2025-08-29T10:25:57.150Z,ur_joints,wrist2,2.071182223
,ur,9,2025-08-29T10:25:57.150Z,ur_joints,wrist3,-0.034906585
,ur,10,2025-08-29T10:25:57.265Z,ur_joints,base,-1.947263846
,ur,10,2025-08-29T10:25:57.265Z,ur_joints,elbow,-0.252549143
,ur,10,2025-08-29T10:25:57.265Z,ur_joints,shoulder,-1.183158700
,ur,10,2025-08-29T10:25:57.265Z,ur_joints,wrist1,-0.723788041
,ur,10,2025-08-29T10:25:57.265Z,ur_joints,wrist2,2.046922147
,ur,10,2025-08-29T10:25:57.265Z,ur_joints,wrist3,-0.034732052
,ur,11,2025-08-29T10:25:57.374Z,ur_joints,base,-1.928588823
,ur,11,2025-08-29T10:25:57.374Z,ur_joints,elbow,-0.357268898
,ur,11,2025-08-29T10:25:57.374Z,ur_joints,shoulder,-1.212480231
,ur,11,2025-08-29T10:25:57.374Z,ur_joints,wrist1,-0.728325897
,ur,11,2025-08-29T10:25:57.374Z,ur_joints,wrist2,2.022662070
,ur,11,2025-08-29T10:25:57.374Z,ur_joints,wrist3,-0.034557519
,ur,12,2025-08-29T10:25:57.481Z,ur_joints,base,-1.909913800
,ur,12,2025-08-29T10:25:57.481Z,ur_joints,elbow,-0.461988653
,ur,12,2025-08-29T10:25:57.481Z,ur_joints,shoulder,-1.241627230
,ur,12,2025-08-29T10:25:57.481Z,ur_joints,wrist1,-0.732863753
,ur,12,2025-08-29T10:25:57.481Z,ur_joints,wrist2,1.998401994
,ur,12,2025-08-29T10:25:57.481Z,ur_joints,wrist3,-0.034382986
,ur,13,2025-08-29T10:25:57.588Z,ur_joints,base,-1.891413310
,ur,13,2025-08-29T10:25:57.588Z,ur_joints,elbow,-0.566708408
,ur,13,2025-08-29T10:25:57.588Z,ur_joints,shoulder,-1.270774228
,ur,13,2025-08-29T10:25:57.588Z,ur_joints,wrist1,-0.737227076
