#constant measurement,ur_joints
#datatype double,double,double,double,double,double
base,elbow,shoulder,wrist1,wrist2,wrist3
-2.133141412,0.794648408,-0.891165116,-0.678409480,2.289522913,-0.036651914
-2.114640922,0.689928653,-0.920486648,-0.682947336,2.265262836,-0.036477381
-2.095965899,0.585208898,-0.949633646,-0.687485192,2.241002760,-0.036302848
-2.077465409,0.480489143,-0.978780645,-0.692023048,2.216742683,-0.036128316
-2.058790386,0.375769388,-1.008102176,-0.696560904,2.192482606,-0.035953783
-2.040115363,0.271049633,-1.037249174,-0.701098761,2.168222530,-0.035604717
-2.021614873,0.166329878,-1.066396173,-0.705636617,2.143962453,-0.035430184
-2.002939850,0.061610123,-1.095543171,-0.710174473,2.119702377,-0.035255651
-1.984439360,-0.043109633,-1.124864703,-0.714712329,2.095442300,-0.035081118
-1.965764337,-0.147829388,-1.154011701,-0.719250185,2.071182223,-0.034906585
-1.947263846,-0.252549143,-1.183158700,-0.723788041,2.046922147,-0.034732052
-1.928588823,-0.357268898,-1.212480231,-0.728325897,2.022662070,-0.034557519
-1.909913800,-0.461988653,-1.241627230,-0.732863753,1.998401994,-0.034382986
-1.891413310,-0.566708408,-1.270774228,-0.737227076,1.974141917,-0.034033920
-1.872738287,-0.671428163,-1.300095760,-0.741764932,1.949881840,-0.033859387
-1.854237797,-0.776147918,-1.329242758,-0.746302788,1.925621764,-0.033684855
-1.835562774,-0.880867673,-1.358389757,-0.750840644,1.901361687,-0.033510322
-1.816887751,-0.985587429,-1.387711288,-0.755378500,1.877101611,-0.033335789
-1.798387261,-1.090307184,-1.416858287,-0.759916356,1.852841534,-0.033161256
-1.779712238,-1.195026939,-1.446005285,-0.764454212,1.828581457,-0.032986723
-1.761211748,-1.299746694,-1.475152284,-0.768992068,1.804321381,-0.032637657
-1.742536725,-1.404466449,-1.504473815,-0.773529924,1.780061304,-0.032463124
-1.723861702,-1.509186204,-1.533620814,-0.778067781,1.755801228,-0.032288591
-1.705361212,-1.613905959,-1.562767812,-0.782605637,1.731541151,-0.032114058
-1.686686189,-1.718625714,-1.592089344,-0.787143493,1.707281074,-0.031939525
-1.668185699,-1.823345470,-1.621236342,-0.791506816,1.683020998,-0.031764992
-1.651081472,-1.919338578,-1.647939880,-0.795695606,1.660855316,-0.031590459
-1.636595240,-2.001369053,-1.670803693,-0.799360797,1.641831227,-0.031415927
-1.624377935,-2.069436894,-1.689827782,-0.802153324,1.626123264,-0.031241394
-1.614778624,-2.123542101,-1.704837613,-0.804596785,1.613556893,-0.031066861
-1.607622774,-2.163684674,-1.716182253,-0.806342114,1.604306648,-0.031066861
-1.603084918,-2.189864612,-1.723338103,-0.807389312,1.598197996,-0.031066861
-1.600815990,-2.202081917,-1.726828762,-0.807912911,1.595405469,-0.031066861
-1.601165056,-2.200336588,-1.726305163,-0.807912911,1.595754535,-0.031066861
-1.603957583,-2.184628625,-1.721941840,-0.807214779,1.599419727,-0.031066861
-1.609193570,-2.154958027,-1.713738793,-0.805993049,1.606226511,-0.031066861
-1.617047552,-2.111324796,-1.701521488,-0.804073186,1.616349420,-0.031241394
-1.627170462,-2.053728931,-1.685464459,-0.801629725,1.629613923,-0.031241394
-1.639911365,-1.982170431,-1.665567705,-0.798488133,1.646194550,-0.031415927
-1.655095730,-1.896649298,-1.641656694,-0.794822941,1.666091304,-0.031590459
-1.672723555,-1.797165531,-1.613905959,-0.790459618,1.689129650,-0.031764992
-1.691398578,-1.692445776,-1.584758961,-0.785921762,1.713389727,-0.031939525
-1.710073601,-1.587726021,-1.555611962,-0.781383906,1.737649803,-0.032114058
-1.728574091,-1.483006265,-1.526290431,-0.776846050,1.761909880,-0.032288591
